OBJECT_ID,VID,SEQUENCE_DTTM,LAT,LON,SPEED_OVER_GROUND,COURSE_OVER_GROUND
1,0,14:00:00,37.003203,-76.256714,35,792
2,0,14:00:00,37.033811,-76.062124,152,1425
3,0,14:00:01,37.033811,-76.062124,152,1425
4,0,14:00:01,36.963301,-76.055999,88,2911
5,0,14:00:04,36.906638,-76.091007,55,2616
6,0,14:00:07,37.03342,-76.061754,152,1427
7,0,14:00:10,37.003233,-76.25652,34,794
8,0,14:00:10,36.963453,-76.056477,88,2910
9,0,14:00:12,37.033138,-76.061489,151,1428
10,0,14:00:14,36.906621,-76.091314,60,2728
11,0,14:00:18,37.032803,-76.061172,151,1428
12,0,14:00:21,37.003263,-76.256307,33,796
13,0,14:00:22,36.96362,-76.057004,89,2912
14,0,14:00:25,37.032466,-76.060857,151,1430
15,0,14:00:25,36.906701,-76.091655,55,2944
16,0,14:00:31,37.003293,-76.25612,33,794
17,0,14:00:31,37.032076,-76.060487,151,1428
18,0,14:00:31,36.963753,-76.057429,88,2910
19,0,14:00:34,36.906853,-76.091859,50,3252
20,0,14:00:36,37.031798,-76.060224,150,1427
21,0,14:00:37,37.031798,-76.060224,150,1427
22,0,14:00:41,37.00332,-76.255934,33,781
23,0,14:00:42,36.963913,-76.05795,88,2909
24,0,14:00:43,37.031468,-76.059905,150,1423
25,0,14:00:45,36.907056,-76.092002,53,3390
26,0,14:00:48,37.031141,-76.059585,150,1421
27,0,14:00:51,36.964046,-76.058382,89,2910
28,0,14:00:52,37.003356,-76.255734,31,776
29,0,14:00:52,36.971616,-76.214967,0,2840
30,0,14:00:53,36.971616,-76.214967,0,2840
31,0,14:00:54,36.907268,-76.092084,57,3531
32,0,14:00:55,37.030813,-76.059269,149,1422
33,0,14:01:00,37.003383,-76.255587,31,781
34,0,14:01:00,37.030491,-76.058959,148,1423
35,0,14:01:01,36.964191,-76.058859,89,2908
36,0,14:01:04,36.907501,-76.092065,39,71
37,0,14:01:07,37.030115,-76.058594,148,1423
38,0,14:01:10,37.00341,-76.255407,31,778
39,0,14:01:10,36.964331,-76.059335,88,2899
40,0,14:01:12,37.029841,-76.058337,148,1427
41,0,14:01:14,36.907705,-76.092019,60,92
42,0,14:01:18,37.029513,-76.058022,147,1428
43,0,14:01:21,37.003446,-76.255214,32,785
44,0,14:01:22,36.964483,-76.059867,88,2897
45,0,14:01:25,37.029186,-76.057707,147,1426
46,0,14:01:25,36.90804,-76.091942,64,114
47,0,14:01:31,37.003473,-76.25502,33,798
48,0,14:01:31,37.028806,-76.057349,146,1428
49,0,14:01:31,36.964606,-76.0603,88,2897
50,0,14:01:34,36.908326,-76.09188,58,84
51,0,14:01:36,37.028536,-76.057094,146,1429
